,CLLI,State,lat,lng,nearest_tx_line_m,nearest_tx_line_ft,line_name,line_from_sub,line_to_sub,line_id,line_type,owner,status,voltage_kv,volt_class,voltage_basis,attrs_inferred,nearest_100kv_plus_m,kv_100plus,line_name_100plus,line_id_100plus,owner_100plus,source
45,CLVLGAXA,GA,34.61483837,-83.52435581,492.3,1615,TAP173810,TAP173810,UNKNOWN173811,175822,OVERHEAD,GEORGIA POWER CO,NOT AVAILABLE,-999999,NOT AVAILABLE,not_published,N,3606.6,115,,140122,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
46,CLEVGAXA,GA,34.59702662,-83.76612716,721.9,2368,,UNKNOWN110446,UNKNOWN110447,104832,OVERHEAD,GEORGIA POWER CO,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,13472.2,115,TAP151228,116778,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
47,CLSTOHXA,OH,41.31290624,-81.91615103,3162.1,10374,AVON LAKE - JUNIPER,AVON LAKE,JUNIPER,121264,AC; OVERHEAD,NOT AVAILABLE,IN SERVICE,345,345,numeric,Y,3162.1,345,AVON LAKE - JUNIPER,121264,NOT AVAILABLE,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
48,CLJTIAWH,IA,41.28189291,-91.38120865,3126.2,10257,SUB T - LOUISA,SUB T,LOUISA,133145,AC; OVERHEAD,MIDAMERICAN ENERGY CO,IN SERVICE,345,345,numeric,N,3126.2,345,SUB T - LOUISA,133145,MIDAMERICAN ENERGY CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
49,CMRCGAXA,GA,34.20397642,-83.45947122,1024.4,3361,,UNKNOWN111494,UNKNOWN111501,158028,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,1024.4,115,,158028,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
50,CLDGTXXA,TX,31.75403928,-96.64933392,1455.9,4777,,NOT AVAILABLE,NOT AVAILABLE,302299,AC; OVERHEAD,ONCOR ELECTRIC DELIVERY CO.,IN SERVICE,69,UNDER 100,numeric,N,8105.3,138,,300787,ONCOR ELECTRIC DELIVERY CO.,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
51,CRNLGAXA,GA,34.51451621,-83.52818003,1438.5,4719,TAP153139,UNKNOWN110332,TAP153139,128010,AC; OVERHEAD,GEORGIA POWER CO,IN SERVICE,115,100-161,numeric,Y,1438.5,115,TAP153139,128010,GEORGIA POWER CO,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
52,COWTOKXB,OK,35.95075827,-95.65161581,1461.1,4794,ONETA - CLARKSVILLE,ONETA,CLARKSVILLE,116139,AC; OVERHEAD,PUBLIC SERVICE CO OF OKLAHOMA,IN SERVICE,345,345,numeric,N,1461.1,345,ONETA - CLARKSVILLE,116139,PUBLIC SERVICE CO OF OKLAHOMA,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
53,CRESIAXO,IA,43.37396074,-92.11734885,186.9,613,DEADEND172586,UNKNOWN168404,DEADEND172586,169703,OVERHEAD,NOT AVAILABLE,IN SERVICE,-999999,NOT AVAILABLE,not_published,N,,,,,,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
54,CETNIAXC,IA,41.05817301,-94.36359446,2980.5,9778,CRESTON,UNKNOWN117366,CRESTON,102969,AC; OVERHEAD,WAPA-- WESTERN AREA POWER ADMINISTRATION,IN SERVICE,161,100-161,numeric,Y,2980.5,161,CRESTON,102969,WAPA-- WESTERN AREA POWER ADMINISTRATION,https://services2.arcgis.com/FiaPA4ga0iQKduv3/arcgis/rest/services/US_Electric_Power_Transmission_Lines/FeatureServer/0
